Wojewodztwo;Powiat;Gmina;Miejscowosc;Dzielnica;ludnosc
DOLNOŚLĄSKIE;ząbkowicki;Stoszowice;Jemna;;5083.0
DOLNOŚLĄSKIE;ząbkowicki;Stoszowice;Różana;;5083.0
DOLNOŚLĄSKIE;ząbkowicki;Ząbkowice Śląskie;Ząbkowice Śląskie;;14032.0
DOLNOŚLĄSKIE;kłodzki;Szczytna;Chocieszów;;2071.0
DOLNOŚLĄSKIE;kłodzki;Szczytna;Łężyce;;2071.0
DOLNOŚLĄSKIE;legnicki;Miłkowice;Gniewomirowice;;7400.0
DOLNOŚLĄSKIE;legnicki;Miłkowice;Siedliska;;7400.0
DOLNOŚLĄSKIE;legnicki;Prochowice;Chwalkowice;;3470.0
DOLNOŚLĄSKIE;trzebnicki;Oborniki Śląskie;Przecławice;;12208.0
DOLNOŚLĄSKIE;ząbkowicki;Ząbkowice Śląskie;Tarnów;;6377.0
DOLNOŚLĄSKIE;świdnicki;Żarów;Siedlimowice;;5702.0
DOLNOŚLĄSKIE;trzebnicki;Oborniki Śląskie;Morzęcin Mały;;12208.0
DOLNOŚLĄSKIE;oleśnicki;Dobroszyce;Dobra;;7412.0
DOLNOŚLĄSKIE;oleśnicki;Dobroszyce;Mękarzowice;;7412.0
DOLNOŚLĄSKIE;oleśnicki;Dobroszyce;Nowica;;7412.0
DOLNOŚLĄSKIE;oleśnicki;Dobroszyce;Nowosiedlice;;7412.0
DOLNOŚLĄSKIE;oleśnicki;Dobroszyce;Sadków;;7412.0
DOLNOŚLĄSKIE;polkowicki;Grębocice;Krzydłowice;;5299.0
DOLNOŚLĄSKIE;polkowicki;Grębocice;Kwielice;;5299.0
DOLNOŚLĄSKIE;wrocławski;Mietków;Wawrzeńczyce;;3760.0
DOLNOŚLĄSKIE;wrocławski;Sobótka;Michałowice;;6000.0
DOLNOŚLĄSKIE;wrocławski;Sobótka;Przezdrowice;;6000.0
DOLNOŚLĄSKIE;złotoryjski;Pielgrzymka;Sędzimirów;;4145.0
DOLNOŚLĄSKIE;milicki;Cieszków;Jankowa;;4561.0
DOLNOŚLĄSKIE;górowski;Góra;Brzeżany;;7671.0
DOLNOŚLĄSKIE;trzebnicki;Trzebnica;Małuszyn;;11502.0
